medicamento,descripcion,peso,presentacion,forma_farmacologica,marca,price,max_price,promotion,scrapping_day,detail_url
seretide,"seretide evohaler 25mcg/125mcg, 12 gr 120 dosis.",25mcg/125mcg,120,dosis,seretide,$843.76,"$1,268.81",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/seretide-evohaler-25mcg-125mcg-12gr-120-dosis-1029967
seretide,"seretide evohaler 25mcg/250mcg, 12 gr 120 dosis.",25mcg/250mcg,120,dosis,seretide,$965.00,"$1,429.63",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/seretide-evohaler-25mcg-250mcg-12gr-120-dosis-1029975
pulmicort,"pulmicort 0.125mg/ml suspensión para nebulización 5 ampolletas, 2 ml c/u.",2 ml,5,ampolletas,pulmicort,$331.50,$510.00,descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/pulmicort-0125mg-ml-suspension-para-nebulizacion-5-ampolletas-2-ml-c-u-875600
pulmicort,"pulmicort 0.250mg/ml suspensión para nebulización 5 ampolletas, 2 ml c/u.",2 ml,5,ampolletas,pulmicort,$455.65,$701.00,descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/pulmicort-0250mg-ml-suspension-para-nebulizacion-5-ampolletas-2-ml-c-u-875597
pulmicort,"pulmicort turbuhaler 100 mcg polvo para inhalación, 200 dosis.",100 mcg,200,dosis,pulmicort,$772.20,"$1,188.00",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/pulmicort-turbuhaler-100-mcg-polvo-para-inhalacion-200-dosis-614335
symbicort,"symbicort turbuhaler polvo 160mcg/4.5mcg, 60 dosis.",160mcg/4.5mcg,60,dosis,symbicort,$883.35,"$1,359.00",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/symbicort-turbuhaler-polvo-160mcg-45mcg-60-dosis-942197
symbicort,"symbicort turbuhaler polvo 80mcg/4.5mcg, 60 dosis.",80mcg/4.5mcg,60,dosis,symbicort,$750.10,"$1,154.00",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/symbicort-turbuhaler-polvo-80mcg-45mcg-60-dosis-942189
symbicort,"symbicort turbuhaler polvo 320mcg/9mcg, 60 dosis.",320mcg/9mcg,60,dosis,symbicort,"$1,058.20","$1,628.00",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/symbicort-turbuhaler-polvo-320mcg-9mcg-60-dosis-955760
vannair,"vannair 80mcg/4.5mcg, aerosol bucal dispositivo inhalador con 120 dosis.",80mcg,,aerosol,vannair,$872.30,"$1,342.00",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/vannair-80mcg-45mcg-aerosol-bucal-dispositivo-inhalador-con-120-dosis-1096591
vannair,"vannair 160mcg/4.5mcg, aerosol bucal dispositivo inhalador con 120 dosis.",160mcg,,aerosol,vannair,$980.85,"$1,509.00",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/vannair-160mcg-45mcg-aerosol-bucal-dispositivo-inhalador-con-120-dosis-1096605
relvare,"relvare polvo para inhalación 100mcg/25mcg, 30 dosis.",100mcg/25mcg,30,dosis,relvare,"$1,018.99","$1,476.80",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/relvare-polvo-para-inhalacion-100mcg-25mcg-30-dosis-1199463
relvare,"relvare polvo para inhalación 200mcg/25mcg, 30 dosis.",200mcg/25mcg,30,dosis,relvare,"$1,024.97","$1,485.47",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/relvare-polvo-para-inhalacion-200mcg-25mcg-30-dosis-1199471
combivent,"combivent respimat 1.68mg/8.77mg/1ml, cartucho 4.5 ml 120 dosis.",1.68mg/8.77mg,120,dosis,combivent,"$1,028.91","$1,570.85",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/combivent-respimat-168mg-877mg-1ml-cartucho-45ml-120-dosis-1119389
combivent,"combivent 0.5mg/2.5mg 10 ampolletas, 2.5 ml.",0.5mg/2.5mg,10,ampolletas,combivent,$511.92,$781.56,descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/combivent-05mg-25mg-10-ampolletas-25ml-832707
ventolin,"Ventolin 100 mcg, 200 Dosis.",100 mcg,200,dosis,,$522.99,$786.45,,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/ventolin-100mcg-200-dosis-y-dispositivo-inhalador-98701
atrovent,"atrovent 500mcg/2ml, 10 ampolletas.",500mcg/2ml,10,ampolletas,atrovent,$995.59,"$1,402.24",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/atrovent-500mcg-2ml-10-ampolletas-908452
atrovent,"atrovent 250mcg/ml, 20 ml.",250mcg,,,atrovent,$933.11,"$1,382.38",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/atrovent-250mcg-ml-20-ml-619337
atrovent,"atrovent suspensión aerosol, 10 ml (11.22gr).",10 ml,,suspension,atrovent,"$1,347.26","$1,995.94",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/atrovent-10ml-1122gr-suspension-aerosol-872580
vinza,"Vinza 0.5mg/2.5mg  Solución, 10 Ampolletas con 2.5 ml c/u.",0.5mg/2.5mg,10,ampolletas,,$231.28,$353.10,,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/vinza-05mg-25mg-solucion-10-ampolletas-con-25-ml-c-u-1198580
spiriva,"spiriva 18 mcg, 30 cápsulas dispositivo dosificador.",18 mcg,30,capsulas,spiriva,"$1,464.99","$2,170.36",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/spiriva-18mcg-30-capsulas-dispositivo-dosificador-1084062
spiriva,"spiriva 18 mcg polvo, 30 cápsulas para inhalación.",18 mcg,30,capsulas,spiriva,"$1,443.40","$2,170.52",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/spiriva-18-mcg-polvo-30-capsulas-para-inhalacion-1084054
spiriva,"spiriva solución inhalación, 0.226mg/1ml.",0.226mg,,solucion,spiriva,"$1,355.22","$2,007.73",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/spiriva-solucion-inhalacion-0226mg-1ml-1135139
onbrize,"onbrize breezhaler 150 mcg, 30 cápsulas.",150 mcg,30,capsulas,onbrize,$781.82,"$1,158.25",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/onbrize-breezhaler-150-mcg-30-capsulas-1111957
onbrize,"onbrize breezhaler 300 mcg, 30 cápsulas.",300 mcg,30,capsulas,onbrize,$822.36,"$1,158.25",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/onbrize-breezhaler-300-mcg-30-capsulas-1111965
seebri,"Seebri Breezhaler 50 mcg, 30 Cápsulas.",50 mcg,30,capsulas,,$714.75,"$1,035.87",,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/seebri-breezhaler-50-mcg-30-capsulas-1193287
spiolto,"Spiolto Respimat 0.226mg Cartucho 4 ml, 30 Dosis.",0.226mg,30,dosis,,"$1,490.63","$2,208.34",,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/spiolto-respimat-0226mg-cartucho-4ml-30-dosis-1240668
ultibro,"Ultibro Breezhaler 110mcg/50mcg, 30 Cápsulas.",110mcg/50mcg,30,capsulas,,"$1,125.55","$1,667.48",,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/ultibro-breezhaler-110mcg-50mcg-30-capsulas-1206788
anoro,"Anoro Dispositivo Inhalador 62.5mcg/25mcg, 30 Dosis.",62.5mcg/25mcg,30,dosis,,"$1,348.20","$1,953.92",,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/anoro-dispositivo-inhalador-625mcg-25mcg-30-dosis-1233203
trimbow,"Trimbow Aerosol 100mcg/6mcg/12.5mcg, 120 Dosis.",100mcg/6mcg,120,dosis,,"$1,358.47","$2,074.00",,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/trimbow-aerosol-100mcg-6mcg-125mcg-120-dosis-1299212
trelegy,"trelegy 100mcg/62.5mcg/25mcg polvo para inhalación, 30 dosis.",100mcg/62.5mcg,30,dosis,trelegy,"$1,383.93","$2,005.70",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/trelegy-100mcg-625mcg-25mcg-polvo-para-inhalacion-30-dosis-1301128
trelegy,"trelegy 200mcg/62.5mcg/25mcg polvo para inhalación, 30 dosis.",200mcg/62.5mcg,30,dosis,trelegy,"$1,353.84","$2,005.69",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/trelegy-200mcg-625mcg-25mcg-polvo-para-inhalacion-30-dosis-1402510
macrodantina,"macrodantina 50 mg, 40 cápsulas.",50 mg,40,capsulas,macrodantina,"$1,070.67","$1,634.61",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/macrodantina-50-mg-40-capsulas-142425
macrodantina,"macrodantina 100 mg, 40 cápsulas.",100 mg,40,capsulas,macrodantina,"$1,098.46","$1,677.04",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/macrodantina-100-mg-40-capsulas-142433
mictasol,"Mictasol 400mg/100mg, 16 Tabletas.",400mg/100mg,16,tabletas,,$659.87,"$1,007.44",,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/mictasol-400mg-100mg-16-tabletas-1240927
fosfocil,"fosfocil 250mg/5ml suspensión, 60 ml.",250mg,,suspension,fosfocil,$219.45,$330.00,descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/fosfocil-250mg-5ml-suspension-60-ml-145041
fosfocil,"fosfocil solución infantil inyectable, 0.5 gr.",0.5 gr,,solucion,fosfocil,$155.25,$230.00,descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/fosfocil-solucion-infantil-inyectable-05-gr-145033
fosfocil,"fosfocil solución inyectable im adulto, 1 gr.",1 gr,,solucion,fosfocil,$219.45,$330.00,descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/fosfocil-solucion-inyectable-im-adulto-1-gr-145025
fosfocil,"fosfocil 500 mg, 12 cápsulas.",500 mg,12,capsulas,fosfocil,$366.80,$560.00,descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/fosfocil-500-mg-12-capsulas-144967
fosfocil,"fosfocil 500 mg, 6 cápsulas.",500 mg,6,capsulas,fosfocil,$239.40,$360.00,descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/fosfocil-500-mg-6-capsulas-145017
fosfocil,"fosfocil gu 3 gr, 1 sobre adulto granulado.",3 gr,1,sobre,fosfocil,$438.75,$650.00,descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/fosfocil-gu-3-gr-1-sobre-adulto-granulado-922226
fosfocil,"fosfocil gu 2 gr, 1 sobre infantil granulado.",2 gr,1,sobre,fosfocil,$303.75,$450.00,descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/fosfocil-gu-2-gr-1-sobre-infantil-granulado-936138
fosfocil,"fosfocil suspensión 250mg/5ml, 120 ml.",250mg,,suspension,fosfocil,$332.50,$500.00,descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/fosfocil-suspension-250mg-5ml-120-ml-1075543
fosfocil,"fosfocil 1 gr solución inyectable intravenosa, 1 pz.",1 gr,1,solucion,fosfocil,$209.60,$320.00,descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/fosfocil-1-gr-solucion-inyectable-intravenosa-1-pz-145050
vodelan,"Vodelan 500mg/100mg, 14 Tabletas.",500mg/100mg,14,tabletas,,$561.99,$858.00,,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/vodelan-500mg-100mg-14-tabletas-1122878
bactrim,"bactrim 200mg/40mg/5ml, suspensión 100 ml.",200mg,,suspension,bactrim,$174.95,$278.50,descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/bactrim-200mg-40mg-5ml-suspension-100-ml-1305468
bactrim,"bactrim f 800mg/160mg, 15 tabletas.",800mg/160mg,15,tabletas,bactrim,$315.06,$502.00,descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/bactrim-f-800mg-160mg-15-tabletas-1312146
bactrim,"bactrim 400mg/80mg, 30 tabletas.",400mg/80mg,30,tabletas,bactrim,$252.88,$403.00,descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/bactrim-400mg-80mg-30-tabletas-17973
xatral-od,"Xatral OD 10 mg, 28 Tabletas.",10 mg,28,tabletas,,"$2,191.17","$3,295.00",,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/xatral-od-10-mg-28-tabletas-901962
avodart,"avodart 0.5 mg, 30 cápsulas.",0.5 mg,30,capsulas,avodart,"$1,232.72","$1,882.02",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/avodart-05-mg-30-capsulas-970360
avodart,"avodart 0.5 mg, 90 cápsulas.",0.5 mg,90,capsulas,avodart,"$2,774.45","$4,110.29",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/avodart-05-mg-90-capsulas-1138189
combodart,"combodart 0.5mg/0.4mg, 30 cápsulas.",0.5mg/0.4mg,30,capsulas,combodart,$971.54,"$1,595.05",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/combodart-05mg-04mg-30-capsulas-1172964
combodart,"combodart 0.5mg/0.4mg, 90 cápsulas.",0.5mg/0.4mg,90,capsulas,combodart,"$2,208.30","$3,271.55",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/combodart-05mg-04mg-90-capsulas-1367609
proscar,"Proscar 5 mg, 30 Tabletas.",5 mg,30,tabletas,,"$1,716.47","$2,620.56",,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/proscar-5-mg-30-tabletas-12491
asoflon,"asoflon-duo 0.50mg/0.40mg, 30 cápsulas.",0.50mg/0.40mg,30,capsulas,asoflon,$982.14,"$1,499.45",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/asoflon-duo-050mg-040mg-30-capsulas-1287427
asoflon,"asoflon lp 0.4 mg, 30 cápsulas.",0.4 mg,30,capsulas,asoflon,"$1,273.97","$1,945.00",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/asoflon-lp-04-mg-30-capsulas-1169475
uprosol,"Uprosol 0.4 mg, 30 Cápsulas.",0.4 mg,30,capsulas,,"$1,138.45","$1,738.09",,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/uprosol-04-mg-30-capsulas-1377620
tamsulosina,"tamsulosina 0.4 mg, 20 cápsulas pharmalife.",0.4 mg,20,capsulas,pharmalife,$138.90,"$1,000.00",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/tamsulosina-04-mg-20-capsulas-pharmalife-1062816
tamsulosina,"tamsulosina 0.4 mg, 30 cápsulas pharmalife.",0.4 mg,30,capsulas,pharmalife,$133.54,"$1,907.77",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/tamsulosina-04-mg-30-capsulas-pharmalife-1367404
tamsulosina,"asoflon-duo 0.50mg/0.40mg, 30 cápsulas.",0.50mg/0.40mg,30,capsulas,asoflon,$982.14,"$1,499.45",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/asoflon-duo-050mg-040mg-30-capsulas-1287427
tamsulosina,"asoflon lp 0.4 mg, 30 cápsulas.",0.4 mg,30,capsulas,asoflon,"$1,273.97","$1,945.00",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/asoflon-lp-04-mg-30-capsulas-1169475
tamsulosina,"combodart 0.5mg/0.4mg, 30 cápsulas.",0.5mg/0.4mg,30,capsulas,combodart,$971.54,"$1,595.05",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/combodart-05mg-04mg-30-capsulas-1172964
tamsulosina,"urizia 6mg/0.4mg, 30 tabletas.",6mg/0.4mg,30,tabletas,urizia,"$1,449.22","$2,179.28",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/urizia-6mg-04mg-30-tabletas-1331965
tamsulosina,"combodart 0.5mg/0.4mg, 90 cápsulas.",0.5mg/0.4mg,90,capsulas,combodart,"$2,208.30","$3,271.55",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/combodart-05mg-04mg-90-capsulas-1367609
tamsulosina,"uprosol 0.4 mg, 30 cápsulas.",0.4 mg,30,capsulas,uprosol,"$1,138.45","$1,738.09",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/uprosol-04-mg-30-capsulas-1377620
tamsulosina,"dutamid 0.5mg/0.4mg, 30 cápsulas.",0.5mg/0.4mg,30,capsulas,dutamid,$533.22,$814.07,descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/dutamid-05mg-04mg-30-capsulas-1399993
tamsulosina,"zivata duo 0.5mg/0.4mg, 30 cápsulas.",0.5mg/0.4mg,30,capsulas,zivata duo,$535.32,$805.00,descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/zivata-duo-05mg-04mg-30-capsulas-1408046
tamsulosina,"tamablan pf 0.4 mg, 30 tabletas.",0.4 mg,30,tabletas,tamablan,$753.25,"$1,150.00",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/tamablan-pf-04-mg-30-tabletas-1369253
sifrol,"sifrol 1 mg, 30 tabletas.",1 mg,30,tabletas,sifrol,"$1,654.43","$2,451.01",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/sifrol-1-mg-30-tabletas-946630
sifrol,"sifrol 0.5 mg, 30 tabletas.",0.5 mg,30,tabletas,sifrol,"$1,375.58","$2,068.54",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/sifrol-05-mg-30-tabletas-946621
sifrol,"sifrol 0.250 mg, 30 tabletas.",0.250 mg,30,tabletas,sifrol,"$1,375.33","$2,068.16",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/sifrol-0250-mg-30-tabletas-946613
sifrol,"sifrol er 1.5 mg, 30 tabletas.",1.5 mg,30,tabletas,sifrol,"$3,834.58","$5,400.82",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/sifrol-er-15-mg-30-tabletas-1212648
sifrol,"sifrol er 0.75mg, 10 tabletas liberación prolongada.",0.75mg,10,tabletas,sifrol,"$1,457.35","$2,159.04",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/sifrol-er-075mg-10-tabletas-liberacion-prolongada-1122070
sifrol,"sifrol er 1.5 mg, 10 tabletas.",1.5 mg,10,tabletas,sifrol,"$1,572.80","$2,330.08",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/sifrol-er-15-mg-10-tabletas-1122053
sifrol,"sifrol er 3.0 mg, 10 tabletas.",3.0 mg,10,tabletas,sifrol,"$1,572.80","$2,330.08",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/sifrol-er-30-mg-10-tabletas-1122061
sifrol,"sifrol er 0.375 mg, 10 tabletas.",0.375 mg,10,tabletas,sifrol,"$1,457.35","$2,159.03",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/sifrol-er-0375-mg-10-tabletas-1122045
sifrol,"sifrol er 3.0 mg, 30 tabletas.",3.0 mg,30,tabletas,sifrol,"$3,645.55","$5,400.82",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/sifrol-er-30-mg-30-tabletas-1296019
azilect,"azilect 1 mg, 10 tabletas.",1 mg,10,tabletas,azilect,$806.08,"$1,738.75",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/azilect-1-mg-10-tabletas-1060260
azilect,"azilect 1 mg, 30 tabletas.",1 mg,30,tabletas,azilect,"$2,191.67","$4,726.48",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/azilect-1-mg-30-tabletas-1067397
nubrenza,nubrenza 8mg/24h con 14 parches.,8mg,14,parches,nubrenza,"$1,646.34","$2,513.50",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/nubrenza-8mg-24h-14-parches-1103261
nubrenza,nubrenza 2mg/24h con 7 parches.,2mg,7,parches,nubrenza,$822.09,"$1,255.10",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/nubrenza-2mg-24hrs-7-parches-1103229
nubrenza,nubrenza 6mg/24h con 14 parches.,6mg,14,parches,nubrenza,"$1,646.34","$2,513.50",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/nubrenza-6mg-24hrs-14-parches-1103253
nubrenza,nubrenza 4mg/24h con 14 parches.,4mg,14,parches,nubrenza,"$1,646.34","$2,513.50",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/nubrenza-4mg-24hrs-14-parches-1103237
stalevo,"stalevo 50/12.5/200mg, 30 tabletas.",200mg,30,tabletas,stalevo,"$1,409.40","$2,088.00",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/stalevo-50-125-200mg-30-tabletas-979635
stalevo,"stalevo 125mg/31.25mg/200mg, 30 tabletas.",125mg/31.25mg,30,tabletas,stalevo,"$1,388.52","$2,088.00",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/stalevo-125mg-3125mg-200mg-30-tabletas-1188704
stalevo,"stalevo 100mg/25mg/200mg, 30 tabletas.",100mg/25mg,30,tabletas,stalevo,"$1,409.40","$2,088.00",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/stalevo-100mg-25mg-200mg-30-tabletas-979643
stalevo,"stalevo 150/37.5/200mg, 30 tabletas.",200mg,30,tabletas,stalevo,"$1,409.40","$2,088.00",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/stalevo-150-375-200mg-30-tabletas-979627
stalevo,"stalevo 75/18.75/200mg, 30 tabletas.",200mg,30,tabletas,stalevo,"$1,388.52","$2,088.00",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/stalevo-75-1875-200mg-30-tabletas-1188690
stalevo,"stalevo 200mg/200mg/50mg, 30 tabletas.",200mg/200mg,30,tabletas,stalevo,"$1,409.40","$2,088.00",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/stalevo-200mg-200mg-50mg-30-tabletas-1094670
sunam,"sunam 1.0 mg, 30 tabletas.",1.0 mg,30,tabletas,sunam,$703.47,"$1,074.00",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/sunam-10-mg-30-tabletas-1179268
sunam,"sunam 1.5 mg, 30 tabletas.",1.5 mg,30,tabletas,sunam,$944.51,"$1,442.00",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/sunam-15-mg-30-tabletas-1179276
sunam,"sunam 0.25 mg, 30 tabletas.",0.25 mg,30,tabletas,sunam,$486.01,$742.00,descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/sunam-025-mg-30-tabletas-1179241
sunam,"sunam 0.5 mg, 30 tabletas.",0.5 mg,30,tabletas,sunam,$532.51,$813.00,descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/sunam-05-mg-30-tabletas-1179250
cloisone,"cloisone 250mg/25mg, 100 tabletas.",250mg/25mg,100,tabletas,cloisone,"$1,130.04","$1,674.14",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/cloisone-250mg-25mg-100-tabletas-862088
cloisone,"cloisone 250mg/25mg, 30 tabletas.",250mg/25mg,30,tabletas,cloisone,$455.21,$684.53,descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/cloisone-250mg-25mg-30-tabletas-907715
aviant,"aviant 5 mg, 30 tabletas.",5 mg,30,tabletas,aviant,$791.21,"$1,207.95",descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/aviant-5mg-30-tabletas-1057367
aviant,"aviant 50 mg suspensión, 120 ml.",50 mg,,suspension,aviant,$393.50,$608.01,descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/aviant-50-mg-suspension-120-ml-922188
aviant,"aviant 5 mg, 10 tabletas.",5 mg,10,tabletas,aviant,$402.17,$595.81,descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/aviant-5mg-10-tabletas-913120
xuzal,"xuzal 5 mg, 10 tabletas.",5 mg,10,tabletas,xuzal,$341.14,$513.00,descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/xuzal-5mg-10-tabletas-953792
xuzal,"xuzal 5 mg, 20 tabletas.",5 mg,20,tabletas,xuzal,$543.30,$817.00,descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/xuzal-5mg-20-tabletas-953784
xuzal,"xuzal solución infantil 0.5 mg, 200 ml.",0.5 mg,,solucion,xuzal,$383.25,$511.00,descuento,14/08/2024 00:03:52,http://www.farmaciasguadalajara.com/xuzal-solucion-infantil-05mg-200ml-1265458
